#ID,M1,M2,M3,M4,M5,M6,M7,M8
gene-Hccs,15.210959,16.5066,14.879438,13.879807,17.746738,14.947672,17.14032,15.786529
gene-Gm46425,0,0,0,0,0,0,0,0
gene-Gm46427,0,0,0,0,0,0,0,0
gene-Dmrtb1,0,0,0,0,0,0,0.03219,0
NewGene_4376,0.052306,0.161384,0,0.271365,0.430113,0,0,0
NewGene_4377,0,0.172771,0.142263,0,0,0,0,0
gene-Nanog,0,0,0,0,0,0.065193,0,0
gene-Ankrd60,0,0,0,0,0,0,0.145163,0
gene-Ankrd61,0.060858,0.069816,0.22699,0.086082,0.033032,0,0.285014,0.129939
gene-Ankrd63,0.019591,0,0,0,0,0.019795,0.40537,1.708113
gene-Phldb1,27.698958,27.218586,23.517954,29.034149,20.545035,19.639517,2.862492,1.410687
gene-Ankrd65,0,0,0,0,0,0,0,0
gene-Ankrd66,1.526894,1.647218,1.55178,1.804054,1.65422,2.175526,10.362835,1.488047
gene-Phldb2,5.246869,5.1088,5.292222,4.645069,6.708748,6.343168,2.185822,0.024532
gene-1700016H13Rik,0,0,0,0,0,0,0,0
NewGene_3471,0,0,0,0.02865,0,0,0.045879,0
gene-C4b-4,1.499804,0.989456,1.493044,1.136163,1.219416,1.932235,0.004754,0
gene-C4b-2,1.824286,2.724253,6.670256,2.847632,5.135677,3.443075,0.006997,0
gene-C4b-3,0.399517,0.707388,1.348068,0.773952,0.483088,0.926876,0.004754,0
gene-Sfmbt1,3.687861,3.524601,3.305924,3.700967,3.445129,3.587701,6.366064,3.886907
gene-Sfmbt2,3.505621,3.270376,3.155556,2.984261,2.613401,3.119307,0.147639,0.124727
gene-LOC108168726,0,0,0,0,0,0,0,0
gene-1700066M21Rik,6.508861,6.292949,5.926098,6.553118,6.700763,7.027915,4.966857,4.451867
gene-Rccd1,0.99002,1.078871,1.19787,1.780937,1.037437,0.929355,3.585935,1.981085
gene-Olfr707-2,0,0,0,0,0,0,0,0
gene-Tcf19,14.855951,11.976742,11.863432,14.147721,9.896506,12.71295,3.700599,9.088909
gene-Tcf12,40.279007,41.515788,33.801448,41.193516,31.277188,30.7043,9.284108,11.665287
gene-Olfr390-2,0,0,0,0,0,0,0,0
gene-Tcf15,0.224894,0.196954,0.355109,0.1917,0.42676,0.143511,0,0
gene-Gm21814,0.004798,0,0.03275,0.064888,0,0,0.142398,0.409641
gene-Gm21810,0,0,0,0,0,0,0,0
gene-Gm21818,0,0,0,0,0,0,0,0
NewGene_8664,0.570494,0,0,0,0,0.536653,1.536233,0.467783
NewGene_8665,0.177082,0,0.129444,0.38708,0.182439,0.3628,0.621949,1.07298
NewGene_8666,0.103313,0,0,0,0.133406,0.049036,0.669535,0.580919
NewGene_8667,0.810378,0.067665,0.911099,0,0,0.477247,1.096164,0
NewGene_8660,0,0.917224,0,0,0,0,0.483031,0.068748
NewGene_8661,0,0.3428,0,0,0,0.381843,0,0.273735
NewGene_5292,0,0,0,0,0.540781,0,0,0
NewGene_5293,0.706637,0.222863,0.162892,0.517289,1.009586,0.132531,0,0
NewGene_5291,1.102509,0.752232,1.563636,0.729288,1.702672,1.233891,0,0
NewGene_8668,0.118866,0,0,0,0,0.160374,0.657958,0
